letter,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
A,880,553,880,526,868,500,853,488,843,485,840,478,807,469,807,483,813,497,836,492,799,487,803,505,811,518,834,510,798,504,800,520,809,533,831,531,801,526,803,535,810,544
A,805,565,823,538,825,499,820,472,821,458,792,461,767,432,769,446,776,465,776,471,748,443,754,464,764,484,763,487,734,458,741,478,750,497,748,507,725,486,731,497,739,511
A,727,571,759,539,774,490,776,450,785,426,734,442,719,399,722,410,726,428,709,448,689,401,697,425,707,449,687,461,666,415,676,437,685,462,664,480,646,445,655,457,664,475
A,649,571,695,536,722,480,731,430,747,396,679,423,673,366,675,374,676,395,646,426,635,364,644,391,652,422,616,435,603,375,615,401,624,432,585,452,576,406,588,420,596,442
A,581,567,637,531,671,470,684,411,704,370,629,403,627,338,628,346,626,370,591,402,585,331,593,363,598,398,556,410,548,341,558,370,564,405,519,425,514,373,525,388,532,414
A,567,559,622,522,653,460,665,401,686,360,611,396,609,331,608,338,606,361,574,396,567,327,573,357,579,393,538,404,531,337,540,365,546,400,502,419,498,367,508,381,515,407
A,555,554,610,516,639,455,649,394,669,352,597,393,593,329,591,332,589,351,560,392,553,325,558,354,564,389,525,400,517,336,526,362,532,396,490,415,486,364,496,377,503,402
A,550,551,604,514,631,453,641,393,660,350,590,391,584,327,583,330,582,351,553,391,545,326,552,354,557,389,518,400,510,337,520,362,526,397,483,415,480,364,490,377,497,402
A,546,549,599,512,625,452,634,391,652,349,584,390,578,327,577,330,576,350,547,390,539,326,547,355,552,389,513,399,506,337,515,362,522,397,479,414,476,363,486,376,493,401
A,544,547,598,510,623,450,631,391,648,350,582,390,576,328,574,329,572,346,545,391,537,327,544,354,550,388,511,399,503,339,512,363,520,396,477,414,474,364,483,376,491,400
A,543,546,596,509,621,450,628,391,644,350,580,390,574,329,572,329,571,346,544,391,535,328,543,354,549,388,510,399,502,340,512,363,520,396,476,414,473,365,482,376,490,400
A,544,546,596,508,620,449,626,391,641,350,579,390,572,329,571,330,570,349,543,391,534,328,541,354,548,387,509,400,501,340,510,362,518,395,476,414,472,365,481,376,489,400
A,543,545,595,507,618,448,624,391,638,350,577,390,571,330,569,331,568,350,541,391,532,329,539,354,546,387,508,400,499,340,509,361,517,395,474,414,471,365,480,376,489,401
A,541,545,593,506,616,448,621,390,636,349,575,390,568,330,567,331,566,349,539,392,530,330,538,354,544,387,506,401,496,341,507,361,515,394,472,415,468,366,478,376,486,400
A,540,544,591,506,614,447,619,389,633,348,572,390,566,330,566,333,565,354,537,391,528,329,536,353,542,386,504,400,495,341,506,363,514,395,470,415,467,366,477,377,485,401
A,538,544,590,505,612,446,617,388,630,347,570,389,564,330,564,335,563,356,535,391,525,329,534,353,540,386,502,400,493,342,504,363,512,396,468,415,465,366,475,377,484,401
A,536,544,588,504,610,445,615,388,627,347,568,390,562,332,562,334,561,351,533,391,523,330,531,352,538,385,500,400,490,342,501,363,509,395,467,415,462,366,473,377,481,401
A,535,543,588,503,609,444,613,386,626,346,567,391,561,334,561,335,560,351,531,392,522,330,529,350,536,382,499,400,489,342,500,363,508,395,465,415,461,366,471,376,480,400
A,534,543,587,502,608,444,612,387,623,346,565,391,560,335,559,336,559,352,530,392,520,330,528,349,534,380,497,400,488,342,499,362,507,394,464,415,460,366,470,376,479,401
A,534,542,586,501,608,444,611,387,621,346,564,391,559,335,559,337,558,354,529,392,520,330,527,350,534,380,497,400,487,342,498,361,506,393,464,415,460,366,470,376,479,400
A,533,542,584,500,606,443,609,386,617,344,562,390,556,335,558,339,558,358,527,391,518,330,527,351,533,382,495,399,485,341,497,361,506,394,462,414,458,365,470,376,478,400
A,532,542,583,500,604,442,607,385,614,344,559,389,554,334,557,343,557,365,525,390,515,329,525,352,531,384,493,399,484,340,496,362,504,395,460,414,456,364,469,376,477,401
A,530,542,580,501,602,442,605,385,611,343,557,388,551,333,556,345,556,370,523,390,513,328,523,353,529,386,491,399,481,340,494,362,502,395,458,414,454,364,467,376,475,402
A,529,542,578,501,600,442,603,385,608,343,555,387,549,333,554,347,555,373,521,390,511,328,522,355,528,388,489,398,480,341,493,364,501,397,456,413,453,364,465,377,473,403
A,528,543,577,501,599,442,601,384,606,342,554,387,548,334,552,346,553,370,520,390,510,329,520,354,527,388,488,398,479,342,491,364,499,398,455,413,451,364,463,377,472,403
A,525,541,575,499,596,440,598,383,602,341,551,386,545,333,549,346,550,371,517,388,507,328,518,354,525,388,485,397,476,341,490,364,497,398,452,412,449,363,461,377,469,403
A,522,540,572,497,593,438,595,382,599,340,549,385,543,334,546,347,548,373,515,388,505,328,515,354,522,388,483,396,474,341,486,364,494,398,450,411,446,362,458,376,466,402
A,520,539,569,496,590,437,591,382,594,339,547,385,540,334,544,346,545,372,513,387,503,327,513,353,519,387,481,395,471,341,484,364,492,398,448,410,444,361,456,375,464,402
A,517,539,567,496,588,437,589,381,593,339,545,385,538,334,542,347,543,374,511,387,500,328,510,354,516,389,478,395,469,340,481,364,488,398,445,410,441,361,453,375,461,401
A,514,539,564,497,585,437,587,381,589,338,542,384,534,334,539,347,540,374,508,386,497,328,508,354,514,389,476,395,466,341,479,364,486,399,442,409,439,360,451,374,458,401
A,513,539,562,498,584,438,585,382,587,339,540,385,532,334,536,345,538,372,506,387,495,328,505,354,512,388,474,396,464,342,477,364,485,398,441,410,436,361,449,373,457,400
A,512,539,561,498,582,438,583,382,585,339,539,385,530,334,534,343,537,368,505,387,493,329,504,353,512,388,473,395,463,342,476,363,484,397,440,410,436,361,448,373,456,400
A,511,539,560,498,581,439,582,382,584,339,538,385,529,334,533,343,536,368,504,388,492,330,503,354,511,388,471,396,461,343,474,363,483,397,438,411,434,362,446,373,455,400
A,511,539,560,498,581,438,581,382,582,339,537,385,527,334,532,342,535,367,503,388,491,330,503,353,511,388,471,397,460,343,474,363,482,397,438,411,433,362,445,373,454,399
A,512,539,561,499,582,439,582,383,583,340,538,385,529,334,533,341,536,365,504,388,492,330,504,353,512,387,472,397,461,343,475,363,483,397,439,412,434,363,446,373,455,399
A,514,538,564,499,584,439,584,383,586,340,540,384,532,332,537,342,539,368,506,387,495,329,507,353,515,388,474,397,464,343,478,364,486,398,441,412,436,363,449,374,458,400
A,516,539,566,500,588,440,588,383,589,340,542,385,536,331,542,345,544,372,508,388,498,329,511,354,518,389,476,398,467,343,481,365,489,399,443,413,439,364,452,375,460,401
A,521,540,571,501,593,440,594,384,595,341,546,385,541,331,548,345,550,374,513,388,503,328,516,354,523,389,481,397,472,342,487,366,495,400,448,413,444,363,458,376,466,402
A,525,541,575,502,597,443,599,386,601,342,551,385,546,330,553,343,555,371,518,388,509,327,522,354,529,388,486,397,478,341,493,365,500,399,453,413,450,362,463,375,471,402
A,532,541,582,502,605,443,607,386,610,343,559,386,554,329,562,343,564,371,525,388,517,326,531,354,537,389,494,397,486,339,502,364,509,398,461,412,458,361,472,375,479,401
A,537,542,588,504,611,445,614,388,618,345,565,387,561,329,568,338,568,362,532,388,525,327,539,353,545,388,501,397,494,338,509,362,516,397,468,411,466,360,480,373,486,400
A,545,542,595,506,619,447,622,390,627,346,574,387,569,330,574,333,573,354,541,388,533,327,548,352,553,387,509,396,501,337,517,360,524,394,477,410,474,360,488,371,495,399
A,553,543,604,507,628,447,633,390,639,346,583,387,580,330,586,333,584,354,550,388,544,326,559,352,564,387,519,396,512,335,529,359,535,394,486,409,484,358,499,370,506,398
A,560,542,611,507,637,447,642,390,649,346,592,386,589,328,595,333,593,354,559,387,553,325,568,352,573,386,527,395,521,333,537,358,544,393,494,409,492,356,507,369,514,397
A,565,543,616,508,642,447,648,389,656,344,598,386,594,327,601,331,599,353,564,387,559,323,574,350,579,385,532,395,526,332,543,357,549,393,498,408,497,355,513,368,520,396
A,568,543,620,508,646,448,652,389,660,343,602,385,599,325,607,332,606,356,568,386,563,321,579,349,583,384,536,394,531,330,548,356,553,391,501,407,502,354,517,367,524,395
A,571,544,624,509,651,448,656,388,664,343,605,386,603,326,612,335,612,360,572,386,567,321,582,349,587,384,539,394,534,330,551,356,556,392,504,407,505,354,520,367,526,394
A,572,545,625,509,653,449,658,389,666,343,607,386,604,326,613,333,613,358,574,387,569,321,584,349,589,384,541,394,536,330,553,355,558,392,506,407,506,354,522,367,528,394
A,573,545,627,509,655,450,660,390,668,344,609,386,606,325,615,334,616,359,575,387,570,321,586,349,590,384,543,394,538,330,555,356,560,393,507,408,508,354,524,367,530,395
A,574,544,628,510,657,450,661,390,669,345,610,386,607,324,618,336,619,362,576,387,571,321,588,350,592,386,544,394,540,330,557,357,561,394,509,408,510,353,526,367,532,395
A,575,545,630,510,659,450,663,391,670,345,611,386,608,324,619,335,620,362,578,387,572,321,589,350,593,386,546,395,542,331,558,358,563,395,510,408,511,353,527,367,533,395
A,576,545,630,510,659,450,663,391,671,346,612,386,609,324,619,335,621,362,579,387,574,321,591,351,595,387,547,395,543,331,560,358,565,395,511,407,513,353,529,367,535,396
A,576,545,630,511,659,451,664,392,671,346,613,386,610,324,621,336,623,363,580,387,575,321,592,351,596,387,548,395,544,331,562,358,566,395,513,407,514,353,530,366,536,395
A,577,545,631,511,660,451,665,392,672,347,614,387,611,326,621,335,622,360,581,388,576,323,593,351,597,387,549,395,545,331,562,357,566,394,514,407,514,353,531,366,537,395
A,578,544,632,510,661,451,666,392,673,348,614,387,611,325,621,335,622,360,582,388,577,322,594,350,598,386,550,395,546,330,564,357,568,394,514,407,515,352,532,366,539,395
A,578,545,632,510,661,451,666,392,674,347,614,388,611,327,620,334,621,357,582,388,577,323,594,350,598,386,550,395,546,331,563,356,567,393,515,408,515,353,532,365,538,395
A,578,545,632,511,661,452,666,393,673,348,614,388,612,327,621,334,621,358,582,388,577,323,594,351,598,386,550,395,545,330,563,355,567,392,514,408,515,353,532,365,538,394
A,578,544,632,511,661,452,666,393,673,347,614,388,611,327,621,335,622,360,581,388,577,323,594,351,598,387,549,395,545,330,563,356,566,393,514,408,515,352,532,365,538,394
A,577,544,631,512,660,453,665,394,672,347,613,389,610,328,621,335,621,358,581,389,577,323,594,351,598,386,549,396,545,330,562,355,566,392,513,408,515,352,532,365,538,394
A,577,544,631,512,660,453,665,394,671,347,612,388,610,327,622,337,622,362,580,389,577,322,594,352,598,387,549,395,546,330,563,356,566,393,513,408,514,352,532,365,538,395
A,577,544,631,512,660,453,665,393,671,347,612,388,610,326,622,338,623,365,580,388,577,322,595,353,598,388,548,395,546,330,563,357,567,394,513,408,515,352,532,366,538,395
A,576,544,630,512,659,453,664,393,671,347,611,389,610,326,622,338,622,363,580,389,577,322,594,352,598,387,548,396,546,331,563,358,567,395,513,408,515,352,532,366,538,395
A,577,544,630,511,660,452,664,393,671,347,611,388,609,326,621,337,622,362,580,389,577,322,594,352,598,387,548,395,546,330,563,357,567,394,512,407,515,352,532,366,538,395
A,576,544,630,510,659,451,664,392,671,347,611,387,609,326,620,337,621,362,580,388,576,322,594,352,598,387,548,394,545,330,563,357,566,394,512,407,515,352,532,366,538,395
A,576,544,630,510,659,452,664,393,671,347,611,387,609,326,620,335,621,360,580,388,576,322,593,351,597,386,548,395,546,331,563,357,566,394,512,407,515,352,532,366,538,395
A,576,543,630,510,659,452,664,393,670,347,611,387,609,326,620,336,621,362,580,388,576,322,593,351,597,387,548,395,545,331,562,357,566,394,513,407,515,352,532,366,538,396
A,576,544,630,510,659,452,664,393,671,346,612,388,609,328,619,335,620,358,580,389,576,323,592,350,596,384,548,395,545,331,562,356,565,393,513,407,515,352,531,366,537,395
