letter,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
H,389,632,416,548,495,497,577,498,634,512,514,464,633,456,703,452,757,447,525,525,648,520,644,527,624,529,535,588,633,577,598,586,558,591,539,647,610,624,579,628,547,634
H,405,639,431,553,510,504,590,509,644,527,533,467,651,459,721,455,774,450,546,526,668,519,689,521,693,518,556,590,647,581,613,589,574,594,560,649,624,628,594,631,563,637
H,419,638,443,552,520,504,599,513,653,532,547,462,666,455,735,451,788,446,562,521,684,509,724,506,748,500,573,584,659,575,625,583,587,588,578,642,635,622,605,626,576,631
H,436,626,456,542,529,495,607,509,659,533,555,453,673,449,742,444,797,439,572,512,694,498,752,489,794,480,584,575,671,564,636,572,597,578,592,633,646,612,617,614,587,619
H,440,629,461,542,534,496,613,512,664,537,563,450,683,446,752,442,805,437,582,507,703,490,775,477,831,466,596,571,678,560,643,568,604,574,605,630,653,609,623,611,595,615
H,435,639,457,546,533,499,614,515,667,539,561,449,685,444,754,441,808,435,581,508,704,488,776,476,833,464,597,573,680,560,645,569,605,575,607,633,654,610,624,612,597,616
H,432,650,456,554,534,504,616,520,670,544,562,454,687,448,756,445,811,440,582,514,708,493,782,480,839,468,599,580,687,564,650,572,608,579,610,642,659,616,629,617,600,621
H,430,660,456,562,537,512,619,528,674,553,565,460,691,454,761,450,816,445,584,522,712,500,787,488,846,475,599,589,691,574,653,582,611,589,609,653,664,627,632,628,602,633
H,426,673,456,572,539,522,623,538,679,562,570,467,696,461,767,458,823,453,588,530,718,508,794,497,853,485,601,598,694,586,654,594,612,600,609,663,665,640,632,641,601,645
H,426,677,458,577,543,527,626,543,682,568,573,471,700,466,771,462,827,457,590,535,721,514,798,504,858,493,601,604,696,593,656,603,612,608,608,671,667,648,633,650,602,654
H,426,681,460,581,546,532,629,548,686,573,576,474,704,470,775,467,832,461,592,539,724,520,802,511,862,500,602,609,696,601,655,610,611,615,607,676,667,657,632,659,600,662
H,434,662,468,572,551,526,633,539,688,562,580,473,702,472,771,468,826,463,589,533,721,524,795,518,851,510,595,600,691,600,658,610,620,614,597,663,660,653,631,658,602,661
H,434,666,470,575,554,529,636,543,691,566,583,476,706,474,775,470,830,464,593,536,725,526,799,520,855,512,598,603,693,604,659,614,620,618,600,667,662,657,632,662,603,664
H,435,669,472,578,556,532,638,546,692,569,586,477,710,475,779,471,833,465,596,539,727,528,801,522,858,513,602,607,695,606,660,616,620,620,603,671,664,660,634,664,605,666
H,434,672,472,579,557,533,639,547,693,571,587,478,711,476,780,472,835,465,598,540,729,529,803,522,859,513,604,608,696,608,661,618,620,622,606,673,666,662,636,666,605,668
H,434,673,473,579,558,533,639,548,693,572,587,478,712,475,781,471,836,464,599,540,730,529,805,521,862,512,606,609,698,608,662,618,621,622,608,674,668,662,637,666,606,668
H,437,664,473,574,557,531,639,549,691,575,586,476,711,473,781,469,835,462,597,537,731,525,807,517,863,507,604,604,699,604,661,615,618,618,607,668,670,657,638,662,606,663
H,436,666,472,575,555,530,637,547,691,573,583,475,709,471,778,467,833,459,596,537,730,523,805,514,862,504,605,604,698,602,660,612,617,616,609,668,670,655,639,660,606,662
H,435,667,470,574,553,529,635,546,689,571,582,474,707,469,776,465,830,458,595,535,729,521,804,512,860,501,605,603,697,600,660,611,617,615,610,667,670,654,639,659,607,660
H,435,669,469,575,552,529,634,545,688,570,581,473,706,467,775,463,828,456,595,535,728,519,803,510,860,498,605,603,696,600,659,611,616,615,609,668,669,654,638,659,606,661
H,432,673,466,576,548,530,632,545,687,568,578,472,704,465,772,461,825,454,593,534,726,517,800,507,856,495,604,602,694,598,656,609,614,614,609,667,669,651,637,656,605,659
H,431,662,464,571,544,527,628,542,684,566,575,469,699,464,767,459,820,451,587,530,720,516,792,508,845,498,597,596,690,595,655,608,615,614,602,659,663,648,634,655,603,658
H,428,666,461,574,541,528,624,541,679,565,571,469,694,462,761,457,813,449,584,529,715,514,787,506,841,494,595,595,688,592,653,605,612,612,600,658,663,644,633,651,601,655
H,425,670,458,576,538,528,621,541,676,563,567,470,688,461,755,455,807,446,581,529,711,513,783,504,837,491,593,595,685,590,650,603,609,610,600,658,661,641,631,648,599,652
H,428,660,456,572,536,525,620,538,672,561,561,467,683,460,749,453,801,444,575,525,705,509,777,499,831,487,587,589,683,586,647,599,606,605,596,651,659,635,628,642,595,646
H,426,661,454,571,533,523,616,535,669,558,558,466,678,458,745,452,796,443,574,523,701,507,771,497,825,485,587,586,680,581,644,594,604,600,597,647,657,630,626,637,594,641
H,424,666,452,571,531,519,612,530,663,553,556,463,675,454,740,448,790,440,574,521,697,502,767,491,822,477,590,583,677,575,640,587,600,593,600,643,657,624,625,629,593,633
H,432,648,456,559,531,510,611,524,661,549,554,457,673,450,738,446,788,438,572,513,695,495,765,485,820,472,588,574,675,568,639,578,600,584,599,633,655,615,624,619,593,623
H,436,642,458,553,531,504,608,516,657,541,554,452,671,446,734,442,784,436,572,507,691,489,759,479,813,467,588,566,673,559,638,570,599,575,599,622,654,604,623,609,593,612
H,441,629,460,544,532,497,609,510,656,535,554,446,668,442,730,439,779,433,572,500,689,484,755,474,808,463,588,557,671,552,637,562,600,567,600,612,653,596,624,601,594,604
H,446,623,464,538,534,490,610,504,655,530,557,442,669,438,729,435,777,431,574,493,689,478,754,468,804,456,590,549,672,545,639,556,602,560,601,603,654,588,625,593,596,596
