letter,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
K,597,607,640,566,663,503,656,450,635,409,631,441,650,377,662,337,672,305,588,443,587,370,592,330,597,299,548,460,575,442,596,492,606,527,515,486,544,471,566,508,573,536
K,624,618,671,579,700,518,697,467,678,428,662,449,684,384,699,344,711,312,618,448,625,376,634,332,642,298,578,462,614,453,633,503,642,539,544,486,581,481,602,518,609,546
K,644,623,691,586,722,526,723,475,707,438,683,452,708,385,726,345,741,313,638,450,648,377,659,331,670,296,597,462,638,460,657,510,665,546,563,485,604,486,624,523,631,551
K,645,620,693,582,724,521,724,470,708,435,687,447,712,378,730,335,744,302,640,445,648,369,659,322,669,285,599,457,638,456,656,506,665,543,563,479,604,480,623,518,629,548
K,637,615,686,576,715,515,712,466,699,431,681,440,706,369,723,325,737,290,635,440,639,361,646,310,652,271,593,453,628,449,647,500,655,539,557,476,595,472,613,511,619,543
K,606,606,655,565,681,499,677,447,666,409,648,429,669,355,684,309,695,272,602,431,601,349,603,295,605,253,561,446,589,434,610,486,620,525,525,470,558,460,577,500,584,532
K,585,598,632,554,655,483,649,430,638,390,623,419,643,345,655,298,665,260,578,423,571,340,569,286,568,244,537,442,558,422,581,475,592,515,502,468,529,451,549,492,557,524
K,568,593,614,547,635,474,625,421,613,381,603,411,620,337,630,291,638,252,558,418,548,334,542,279,539,236,519,439,535,413,559,467,571,508,483,468,506,445,527,486,536,519
K,561,591,605,545,625,469,616,416,603,374,593,408,608,334,617,288,625,249,548,415,536,331,529,277,523,233,509,438,523,409,549,465,562,505,475,469,496,444,518,485,527,517
K,558,589,601,541,620,463,612,408,603,364,586,406,600,332,609,286,617,248,542,414,528,329,521,275,515,232,504,437,517,407,543,463,557,503,470,469,489,443,513,484,522,515
K,557,588,601,538,619,460,611,404,603,360,584,405,598,331,607,286,614,248,541,413,527,329,519,276,513,232,503,437,515,407,541,462,556,502,469,469,488,443,511,483,520,514
K,557,587,601,537,619,459,611,403,602,359,583,404,597,331,605,286,613,248,540,413,526,329,518,276,512,232,502,436,515,407,542,462,556,502,468,468,488,442,511,482,521,514
